,um,model
249,5.0996000903251115,1.3102703648142212e-09
250,5.100400090304902,1.3102359167128988e-09
251,5.101200090284692,1.308179058829047e-09
252,5.102000090264482,1.306219157294099e-09
253,5.102800090244273,1.3057252648259204e-09
254,5.103600090224063,1.3062986910040871e-09
255,5.104400090203853,1.3071039076829898e-09
256,5.105200090183644,1.3075509987321323e-09
257,5.106000090163434,1.3075945358209233e-09
258,5.106800090143224,1.3067223458132373e-09
259,5.1076000901230145,1.3057527600485944e-09
260,5.108400090102805,1.3053572027412098e-09
261,5.109200090082595,1.3051719674369745e-09
262,5.110000090062385,1.3045646254517805e-09
263,5.110800090042176,1.3038270050250675e-09
264,5.111600090021966,1.3034131475894384e-09
265,5.112400090001756,1.3025243626264878e-09
266,5.113200089981547,1.3014290676122235e-09
267,5.114000089961337,1.299861918843967e-09
268,5.114800089941127,1.2982183525530843e-09
269,5.1156000899209175,1.2974220461243895e-09
270,5.116400089900708,1.2972068796698193e-09
271,5.117200089880498,1.2968063748404431e-09
272,5.118000089860288,1.295582723415419e-09
273,5.118800089840079,1.294388950777692e-09
274,5.119600089819869,1.293307375900287e-09
275,5.120400089799659,1.2926184899295206e-09
276,5.12120008977945,1.2919196464488137e-09
277,5.12200008975924,1.291239727736948e-09
278,5.12280008973903,1.29168795594909e-09
279,5.1236000897188205,1.291902244346346e-09
280,5.124400089698611,1.2912888605394885e-09
281,5.125200089678401,1.2899511208044062e-09
282,5.126000089658191,1.2897074694804766e-09
283,5.126800089637982,1.2897239252712747e-09
284,5.127600089617772,1.2898250199201717e-09
285,5.128400089597562,1.2899435337146202e-09
286,5.129200089577353,1.2900860892121136e-09
287,5.130000089557143,1.289817540108579e-09
288,5.130800089536933,1.2885464523868292e-09
289,5.1316000895167235,1.2871690366741045e-09
290,5.132400089496514,1.2869013224440224e-09
291,5.133200089476304,1.2877475267394953e-09
292,5.134000089456094,1.2884465025472795e-09
293,5.134800089435885,1.2883176671902e-09
294,5.135600089415675,1.287689519694495e-09
295,5.136400089395465,1.2865167030293962e-09
296,5.137200089375256,1.2852501506294608e-09
297,5.138000089355046,1.283973550964708e-09
298,5.138800089334836,1.2830542248597583e-09
299,5.1396000893146265,1.282308743229341e-09
300,5.140400089294417,1.2812521693191065e-09
301,5.141200089274207,1.2802111307173115e-09
302,5.142000089253997,1.2791129283603328e-09
303,5.142800089233788,1.2783247827226863e-09
304,5.143600089213578,1.277718882995109e-09
305,5.144400089193368,1.277363557057285e-09
306,5.145200089173159,1.2771485196993706e-09
307,5.146000089152949,1.2762367656165882e-09
308,5.146800089132739,1.2749093039388141e-09
309,5.1476000891125295,1.2732876569517852e-09
310,5.14840008909232,1.2726616179005999e-09
311,5.14920008907211,1.2725580797667857e-09
312,5.1500000890519,1.2724060666722245e-09
313,5.150800089031691,1.2720989496504426e-09
314,5.151600089011481,1.2716080428457125e-09
315,5.152400088991271,1.2713295790917737e-09
316,5.153200088971062,1.270747268586662e-09
317,5.154000088950852,1.2702372219070305e-09
318,5.154800088930642,1.2696365324887245e-09
319,5.1556000889104325,1.2697192683071562e-09
320,5.156400088890223,1.2700436009726575e-09
321,5.157200088870013,1.270734552998102e-09
322,5.158000088849803,1.27150972980462e-09
323,5.158800088829594,1.27127649548742e-09
324,5.159600088809384,1.2699246955093975e-09
325,5.160400088789174,1.2680455220960416e-09
326,5.161200088768965,1.2672002368288389e-09
327,5.162000088748755,1.2672760017233077e-09
328,5.162800088728545,1.267392909076769e-09
329,5.1636000887083355,1.26752950488746e-09
330,5.164400088688126,1.26687310360439e-09
331,5.165200088667916,1.2656907740608177e-09
332,5.166000088647706,1.2642502457011433e-09
333,5.166800088627497,1.2633160272424944e-09
334,5.167600088607287,1.2633565836652012e-09
335,5.168400088587077,1.2632859224304958e-09
336,5.169200088566868,1.262658260989366e-09
337,5.170000088546658,1.2619304457774722e-09
338,5.170800088526448,1.2611391694398493e-09
339,5.1716000885062385,1.2596844133663258e-09
340,5.172400088486029,1.2579978236858105e-09
341,5.173200088465819,1.2571966747727389e-09
342,5.174000088445609,1.2565343731385208e-09
343,5.1748000884254,1.2559807904984502e-09
344,5.17560008840519,1.2550563356716714e-09
345,5.17640008838498,1.2544337036853803e-09
346,5.177200088364771,1.253600035760999e-09
347,5.178000088344561,1.252369336162291e-09
348,5.178800088324351,1.2516656897972186e-09
349,5.1796000883041415,1.2521117032765251e-09
350,5.180400088283932,1.2535418538919226e-09
351,5.181200088263722,1.2537706044541663e-09
352,5.182000088243512,1.2531745543323133e-09
353,5.182800088223303,1.2522526556867676e-09
354,5.183600088203093,1.2515090397102726e-09
355,5.184400088182883,1.2514450691057458e-09
356,5.185200088162674,1.2514860122352343e-09
357,5.186000088142464,1.2517027388454055e-09
358,5.186800088122254,1.2513485563094032e-09
359,5.1876000881020445,1.250645626556645e-09
360,5.188400088081835,1.2500305434982905e-09
361,5.189200088061625,1.2495771404169297e-09
362,5.190000088041415,1.2491852002563288e-09
363,5.190800088021206,1.2491341325097415e-09
364,5.191600088000996,1.2491258016750053e-09
365,5.192400087980786,1.2483698701654437e-09
366,5.193200087960577,1.2475368586804617e-09
367,5.194000087940367,1.2473679843746316e-09
368,5.194800087920157,1.246804776726107e-09
369,5.1956000878999475,1.245408101376317e-09
370,5.196400087879738,1.243511709733811e-09
371,5.197200087859528,1.242180628160392e-09
372,5.198000087839318,1.2415754217136075e-09
373,5.198800087819109,1.2410696650005689e-09
374,5.199600087798899,1.2408366117315626e-09
375,5.200400087778689,1.240017254143549e-09
376,5.20120008775848,1.2386470687622012e-09
377,5.20200008773827,1.2371057539470912e-09
378,5.20280008771806,1.236150802260324e-09
379,5.2036000876978505,1.2360458111033159e-09
380,5.204400087677641,1.236328823285035e-09
381,5.205200087657431,1.2364512751553034e-09
382,5.206000087637221,1.2352241664180757e-09
383,5.206800087617012,1.233795126919635e-09
384,5.207600087596802,1.2330678364988543e-09
385,5.208400087576592,1.2330435629988487e-09
386,5.209200087556383,1.2331462772210493e-09
387,5.210000087536173,1.2332322464816247e-09
388,5.210800087515963,1.2336100931457514e-09
389,5.2116000874957535,1.2332083129096476e-09
390,5.212400087475544,1.2323187922166504e-09
391,5.213200087455334,1.2308838888066995e-09
392,5.214000087435124,1.2297133370087202e-09
393,5.214800087414915,1.2295459324534245e-09
394,5.215600087394705,1.2299777498890534e-09
395,5.216400087374495,1.2305745052945982e-09
396,5.217200087354286,1.2308509102444452e-09
397,5.218000087334076,1.2307762760947618e-09
398,5.218800087313866,1.2299843279913856e-09
399,5.2196000872936565,1.228717067254001e-09
400,5.220400087273447,1.2281391808198956e-09
401,5.221200087253237,1.2279825304985042e-09
402,5.222000087233027,1.2280328778223192e-09
403,5.222800087212818,1.2282793506726341e-09
404,5.223600087192608,1.2282154449963013e-09
405,5.224400087172398,1.2273313185806071e-09
406,5.225200087152189,1.2255687817952343e-09
407,5.226000087131979,1.2238438468710412e-09
408,5.226800087111769,1.2226796769917387e-09
409,5.2276000870915595,1.2218235155609886e-09
410,5.22840008707135,1.2212123952679713e-09
411,5.22920008705114,1.220438388001449e-09
412,5.2300000870309304,1.2199838368005784e-09
413,5.230800087010721,1.2190794687370309e-09
414,5.231600086990511,1.217993137719018e-09
415,5.232400086970301,1.2169140536046018e-09
416,5.233200086950092,1.2160232028808485e-09
417,5.234000086929882,1.2158646329312557e-09
418,5.234800086909672,1.215616317668314e-09
419,5.2356000868894625,1.2152780702137905e-09
420,5.236400086869253,1.2146177440308792e-09
421,5.237200086849043,1.2141818620908256e-09
422,5.2380000868288334,1.2141753777701845e-09
423,5.238800086808624,1.213924532026486e-09
424,5.239600086788414,1.2139591166166768e-09
425,5.240400086768204,1.2138646234017857e-09
426,5.241200086747995,1.214217575073369e-09
427,5.242000086727785,1.214553294531318e-09
428,5.242800086707575,1.2143867218119427e-09
429,5.2436000866873655,1.213846931353716e-09
430,5.244400086667156,1.2130318918212967e-09
431,5.245200086646946,1.212733717421137e-09
432,5.2460000866267364,1.2128192042093814e-09
433,5.246800086606527,1.2125474248682137e-09
434,5.247600086586317,1.2119798169439178e-09
435,5.248400086566107,1.2112740404566365e-09
436,5.249200086545898,1.2104624579282823e-09
437,5.250000086525688,1.2096630326379954e-09
438,5.250800086505478,1.2093059770194622e-09
439,5.2516000864852685,1.2089045565589378e-09
440,5.252400086465059,1.2082047951236842e-09
441,5.253200086444849,1.2075531651541962e-09
442,5.2540000864246394,1.2065624667024187e-09
443,5.25480008640443,1.2053619664758263e-09
444,5.25560008638422,1.20443516502923e-09
445,5.25640008636401,1.2033687839651266e-09
446,5.257200086343801,1.202650684967901e-09
447,5.258000086323591,1.202101953976622e-09
448,5.258800086303381,1.201710428052186e-09
449,5.2596000862831715,1.2009248682078752e-09
450,5.260400086262962,1.1996544840886942e-09
451,5.261200086242752,1.1983666859353176e-09
452,5.2620000862225424,1.1972956657186285e-09
453,5.262800086202333,1.1971869700619408e-09
454,5.263600086182123,1.1974272611023115e-09
455,5.264400086161913,1.1975404626465499e-09
456,5.265200086141704,1.1972346047251522e-09
457,5.266000086121494,1.1964595830270846e-09
458,5.266800086101284,1.1961941782680354e-09
459,5.2676000860810746,1.1958990932584039e-09
460,5.268400086060865,1.195735566745378e-09
461,5.269200086040655,1.1955614813772472e-09
462,5.2700000860204455,1.1955719169535876e-09
463,5.270800086000236,1.1960820999874789e-09
464,5.271600085980026,1.1965368834544785e-09
465,5.272400085959816,1.19667088788085e-09
466,5.273200085939607,1.1961373448278733e-09
467,5.274000085919397,1.1958659534169928e-09
468,5.274800085899187,1.1960375580451963e-09
469,5.2756000858789776,1.1955475350373403e-09
470,5.276400085858768,1.1948280910554534e-09
471,5.277200085838558,1.1943900943337202e-09
472,5.2780000858183485,1.1938608476117452e-09
473,5.278800085798139,1.1929520036556392e-09
474,5.279600085777929,1.192027955484459e-09
475,5.280400085757719,1.1912525543504691e-09
476,5.28120008573751,1.1900773453757856e-09
477,5.2820000857173,1.1888199236949408e-09
478,5.28280008569709,1.188364418358894e-09
479,5.2836000856768806,1.1881582433402196e-09
480,5.284400085656671,1.1877882181047671e-09
481,5.285200085636461,1.1865848705927527e-09
482,5.2860000856162515,1.1850195470016419e-09
483,5.286800085596042,1.1840590438924074e-09
